,Player Season,Player ID,Rush Attempts,Rush Avg Yards,Rush Broken Tackles,Rush Kneel Downs,Rush Longest,Rush Longest TD,Rush Red Zone Attempts,Rush Scrambles,Rush Tackles for Loss,Rush Tackles for Loss Yards,Rush Touchdowns,Rush Yards,Rush Yards After Contact
193,2014,170b4c5f-a345-4899-8d81-e8982b0f3d65,94,3.617,0,0,43,1,13,0,9,-16,2,340,166
194,2014,2bb70d56-a79a-4fa1-ae37-99858a3ffd55,10,9.4,0,0,25,0,0,0,0,0,0,94,29
195,2014,39f70428-a78a-494c-8676-438d953c289e,9,4.222,0,0,11,0,1,0,0,0,0,38,11
196,2014,41c44740-d0f6-44ab-8347-3b5d515e5ecf,36,1.583,0,15,17,0,11,0,0,0,0,57,17
197,2014,42de9d1d-0352-460b-9172-9452414fd7fd,10,0.9,0,6,9,0,1,0,1,-1,0,9,32
198,2014,5707d2b0-ea9e-4a5e-8289-9d52197301d9,2,6.5,0,0,9,0,0,0,0,0,0,13,2
199,2014,9d04accc-a404-406f-b93c-0878410e55a6,3,1.667,0,0,5,0,2,0,0,0,0,5,4
200,2014,dba5e3ec-2c77-4f65-ad6e-cee246f816ef,28,3.179,0,0,17,6,7,0,5,-8,1,89,48
201,2014,f5d20030-d934-45e3-8282-e34c6c83ad84,60,4.683,0,0,34,3,12,0,10,-16,3,281,202
202,2014,1726a359-9444-4761-a1f2-cb35ee6fa60e,7,7.286,0,0,26,0,0,0,0,0,0,51,13
203,2014,24cf6148-f0af-4103-a215-e06956764953,168,4.048,0,0,89,89,30,0,12,-28,5,680,421
204,2014,3289f9ce-e1d1-40ed-9d3f-242a1712c586,3,7.0,0,0,12,0,0,0,0,0,0,21,21
205,2014,59fc3367-5514-4616-a93c-06e4365b2293,222,5.063,0,0,85,85,33,0,21,-44,9,1124,622
206,2014,bd8052bd-0898-430b-99c9-2529e895ae79,9,3.0,0,0,10,10,3,0,1,-3,1,27,16
207,2014,c0968ade-8af6-49f3-b812-bf15b6379334,3,10.0,0,0,13,0,0,0,0,0,0,30,22
208,2014,c9701373-23f6-4058-9189-8d9c085f3c49,2,1.0,0,0,5,0,1,0,1,-3,0,2,0
209,2014,d2a0e5af-3850-4f16-8e40-a0b1d15c2ce1,60,2.817,0,14,20,20,11,0,1,-1,4,169,34
210,2014,fa26e15f-2375-4acc-aaae-cf32cfe4bc3e,1,0.0,0,0,0,0,0,0,0,0,0,0,1
211,2014,40cd928f-f228-4ffd-8179-b27a12e14a44,148,4.101,0,0,35,26,15,0,23,-59,8,607,277
212,2014,4b3677f5-712e-43f2-b7bb-51ac6f291b86,4,2.5,0,0,8,0,1,0,1,-10,0,10,2
