,Season,Team ID,TKey,Punt Attempts,Punt Avg Hang Time,Punt Avg Net Yards,Punt Avg Yards,Punt Blocked,Punt Hangtime,Punt Inside 20,Punt Longest,Punt Net Yards,Punt Return Yards,Punt Touchbacks,Punt Yards
131,2016,d26a1ca5-722d-4274-8f97-c92e49c96315,d26a1ca5-722d-4274-8f97-c92e49c963152016,77,4.277,38.636,44.182,0,329.32000000000005,32,71,2975,347,4,3402
132,2016,ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,ce92bd47-93d5-4fe9-ada4-0fc681e6caa02016,89,4.311,41.315,45.708,0,383.72099999999995,28,68,3677,271,6,4068
133,2016,6680d28d-d4d2-49f6-aace-5292d3ec02c2,6680d28d-d4d2-49f6-aace-5292d3ec02c22016,76,4.469,40.658,45.092,0,339.64900000000006,38,64,3090,157,9,3427
134,2016,1c1cec48-6352-4556-b789-35304c1a6ae1,1c1cec48-6352-4556-b789-35304c1a6ae12016,81,4.408,41.383,48.605,0,357.02099999999996,34,72,3352,405,9,3937
135,2016,e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,e627eec7-bbae-4fa4-8e73-8e1d6bc5c0602016,59,4.657,41.19,45.879,1,270.105,25,66,2389,192,4,2661
136,2016,386bdbf9-9eea-4869-bb9a-274b0bc66e80,386bdbf9-9eea-4869-bb9a-274b0bc66e802016,63,4.253,40.73,45.841,0,267.95000000000005,21,72,2566,202,6,2888
137,2016,04aa1c9d-66da-489d-b16a-1dee3f2eec4d,04aa1c9d-66da-489d-b16a-1dee3f2eec4d2016,93,4.142,40.935,46.204,0,385.2490000000001,28,63,3807,330,8,4297
138,2016,22052ff7-c065-42ee-bc8f-c4691c50e624,22052ff7-c065-42ee-bc8f-c4691c50e6242016,49,4.351,38.918,45.082,0,213.204,15,61,1907,222,4,2209
139,2016,7b112545-38e6-483c-a55c-96cf6ee49cb8,7b112545-38e6-483c-a55c-96cf6ee49cb82016,68,4.43,38.412,44.029,0,301.226,24,67,2612,282,5,2994
140,2016,c5a59daa-53a7-4de0-851f-fb12be893e9e,c5a59daa-53a7-4de0-851f-fb12be893e9e2016,62,4.423,44.194,48.548,0,274.22600000000006,23,63,2740,210,3,3010
