Key,Def Assisted Tackles,Def Blitzes,Def Combined Tackles,Def Defensive Completions,Def Defensive Targets,Def Forced Fumbles,Def Fumble Recoveries,Def Hurries,Def Interceptions,Def Knockdowns,Def Misc Assists,Def Misc Forced Fumbles,Def Misc Fumble Recoveries,Def Misc Tackles,Def Missed Tackles,Def Passes Defended,Def QB Hits,Def Sack Yards,Def Sacks,Def Safeties,Def Special Team Assists,Def Special Team Bocks,Def Special Team Forced Fumbles,Def Special Team Fumble Recoveries,Def Special Team Tackles,Def Tackles,Def Tackles for Loss,Def Tackles for Loss Yards
a20471b4-a8d9-40c7-95ad-90cc30e46932 2015,212,466,872,328,566,11,6,154,16,55,0,0,11,11,139,72,95,256.0,43.0,0,12,1,1,2,73,660,85.0,346.0
33405046-04ee-4058-a950-d606f8c30852 2015,179,257,898,368,583,10,8,193,13,65,0,0,9,14,105,65,111,283.0,43.0,0,7,1,1,2,66,719,76.0,318.0
4254d319-1bc7-4f81-b4ab-b5e6f3402b69 2015,326,222,1032,415,610,18,12,126,11,51,0,0,7,20,156,67,87,232.0,38.0,0,11,2,1,6,56,706,79.0,312.0
e6aa13a4-0055-48a9-bc41-be28dc106929 2015,231,183,878,383,585,12,8,127,15,68,0,0,12,24,142,61,75,117.0,19.0,0,6,0,0,0,49,647,51.0,185.0
f14bf5cc-9a82-4a38-bc15-d39f75ed5314 2015,319,280,935,409,694,20,14,198,24,72,0,1,3,16,118,84,110,302.0,44.0,0,17,0,1,1,62,616,86.0,386.0
0d855753-ea21-4953-89f9-0e20aff9eb73 2015,284,268,907,383,569,15,12,146,9,33,0,0,7,12,138,69,64,198.0,31.0,0,13,3,3,3,60,623,55.0,266.0
f0e724b0-4cbf-495a-be47-013907608da9 2015,237,355,996,382,577,5,3,157,9,50,1,0,9,12,129,58,77,196.0,28.0,0,15,4,0,3,63,759,64.0,275.0
de760528-1dc0-416a-a978-b510d20692ff 2015,141,484,793,352,589,19,12,147,19,70,0,0,5,18,110,69,107,258.0,36.0,2,10,0,3,5,72,652,91.0,348.0
3d08af9e-c767-4f88-a7dc-b920c6d2b4a8 2015,314,191,862,355,573,16,8,169,14,68,0,1,6,14,108,76,103,255.0,37.0,0,21,0,1,0,61,548,71.0,293.0
768c92aa-75ff-4a43-bcc0-f2798c2e1724 2016,315,285,968,313,526,9,5,89,12,39,0,0,8,7,115,74,79,253.0,39.0,0,22,1,2,2,79,653,70.0,285.0
4809ecb0-abd3-451d-9c4a-92a90b83ca06 2016,364,282,1000,381,597,15,10,141,16,62,2,0,11,13,123,75,96,220.0,33.0,0,33,4,1,4,56,636,73.0,273.0
5fee86ae-74ab-4bdd-8416-42a9dd9964f3 2016,296,401,873,340,555,12,3,84,8,46,0,1,12,21,89,54,81,179.0,27.0,0,29,0,1,4,49,577,71.0,237.0
97354895-8c77-4fd4-a860-32e62ea7382a 2016,338,299,902,389,631,13,7,97,13,39,0,0,9,8,114,72,74,227.0,34.0,3,28,3,3,10,53,564,52.0,297.0
ad4ae08f-d808-42d5-a1e6-e9bc4e34d123 2016,321,196,944,382,616,5,3,84,17,69,0,0,5,15,129,85,104,185.0,33.0,1,35,3,1,5,64,623,61.0,230.0
d5a2eb42-8065-4174-ab79-0a6fa820e35e 2016,317,300,957,325,533,5,1,74,10,52,0,1,10,21,110,67,81,177.0,26.0,0,19,1,0,3,56,640,52.0,243.0
